epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3818.15,1.00737,0.89706,1.11303,0.55155,0.76382,0.68879,0.45621,1.1709,1.01668,1.21,0.000894701,0.000894701,0.000894701
56,3886.99,1.00127,0.87923,1.10635,0.59786,0.72536,0.68889,0.45499,1.17247,1.02873,1.20928,0.000882918,0.000882918,0.000882918
57,3955.84,0.99724,0.86115,1.11074,0.58326,0.73893,0.68421,0.46208,1.13553,1.02309,1.19679,0.000871025,0.000871025,0.000871025
58,4024.7,0.98884,0.86528,1.11173,0.57158,0.76203,0.68412,0.46632,1.1397,1.03203,1.19384,0.000859027,0.000859027,0.000859027
59,4093.84,0.9839,0.84216,1.10636,0.5516,0.76534,0.6628,0.4544,1.09433,1.04277,1.18069,0.000846929,0.000846929,0.000846929
60,4162.56,0.98557,0.85576,1.10589,0.597,0.70939,0.68121,0.44357,1.19575,1.00977,1.22302,0.000834736,0.000834736,0.000834736
61,4231.39,0.98234,0.84976,1.10369,0.59952,0.71655,0.67987,0.45711,1.13202,1.03184,1.19439,0.000822454,0.000822454,0.000822454
62,4300.23,0.98272,0.84105,1.10364,0.58831,0.71593,0.68773,0.46933,1.11288,1.01022,1.19714,0.000810088,0.000810088,0.000810088
63,4369.3,0.97844,0.84932,1.1094,0.61577,0.71606,0.69321,0.4677,1.13531,1.00515,1.19176,0.000797644,0.000797644,0.000797644
64,4438.08,0.97303,0.82133,1.09759,0.59614,0.72141,0.68244,0.46244,1.13978,1.01998,1.20394,0.000785127,0.000785127,0.000785127
65,4506.99,0.96465,0.81124,1.09822,0.60237,0.71039,0.69493,0.47233,1.1308,1.02406,1.2032,0.000772542,0.000772542,0.000772542
66,4576.05,0.96328,0.81515,1.10193,0.57787,0.74323,0.67238,0.44334,1.1927,1.03934,1.22253,0.000759895,0.000759895,0.000759895
67,4644.97,0.94341,0.79823,1.08353,0.55211,0.755,0.66582,0.44197,1.15585,1.07309,1.19673,0.000747192,0.000747192,0.000747192
68,4713.9,0.93975,0.7798,1.07804,0.59105,0.71566,0.67364,0.45302,1.1359,1.03263,1.2046,0.000734438,0.000734438,0.000734438
69,4782.64,0.94818,0.79052,1.09188,0.60383,0.72396,0.68081,0.45488,1.16475,1.03809,1.20507,0.000721639,0.000721639,0.000721639
70,4851.45,0.94536,0.77259,1.08392,0.60466,0.67195,0.65992,0.45145,1.11015,1.07033,1.18332,0.0007088,0.0007088,0.0007088
71,4920.45,0.93304,0.76251,1.07922,0.58933,0.73466,0.66245,0.45075,1.10705,1.05699,1.18143,0.000695927,0.000695927,0.000695927
72,4989.36,0.93159,0.766,1.0757,0.605,0.68344,0.65867,0.44877,1.10588,1.06169,1.17045,0.000683026,0.000683026,0.000683026
73,5058.24,0.93549,0.76589,1.07885,0.55941,0.75297,0.67778,0.45781,1.13726,1.05732,1.20443,0.000670102,0.000670102,0.000670102
74,5127.2,0.92779,0.74553,1.07001,0.59714,0.73718,0.67469,0.45361,1.13827,1.04899,1.20545,0.000657161,0.000657161,0.000657161
75,5196.16,0.9204,0.74454,1.07201,0.61949,0.70105,0.68433,0.45785,1.14211,1.0498,1.20445,0.000644208,0.000644208,0.000644208
76,5264.86,0.91611,0.73588,1.07286,0.62468,0.66113,0.67793,0.46016,1.12015,1.06974,1.18429,0.00063125,0.00063125,0.00063125
77,5333.76,0.91028,0.7287,1.06562,0.59833,0.70949,0.64787,0.43274,1.1564,1.09922,1.21744,0.000618292,0.000618292,0.000618292
78,5402.66,0.90899,0.72454,1.06821,0.58754,0.72545,0.67545,0.45146,1.14376,1.0894,1.19965,0.000605339,0.000605339,0.000605339
79,5471.46,0.90993,0.73297,1.06881,0.60497,0.71169,0.67098,0.45163,1.13286,1.06901,1.19002,0.000592398,0.000592398,0.000592398
80,5540.28,0.90385,0.71445,1.05873,0.60945,0.71601,0.6802,0.46019,1.11963,1.07153,1.18067,0.000579474,0.000579474,0.000579474
81,5609.07,0.91515,0.72412,1.06615,0.59077,0.74309,0.67186,0.44961,1.11924,1.0691,1.17844,0.000566573,0.000566573,0.000566573
82,5678.09,0.89379,0.6961,1.05036,0.60841,0.71506,0.66817,0.44721,1.13018,1.10552,1.1986,0.0005537,0.0005537,0.0005537
83,5746.94,0.88611,0.68826,1.04639,0.60345,0.72347,0.66817,0.45676,1.11142,1.08613,1.18418,0.000540861,0.000540861,0.000540861
84,5815.88,0.89468,0.69839,1.05951,0.569,0.7641,0.66746,0.45011,1.13774,1.11925,1.19252,0.000528062,0.000528062,0.000528062
85,5884.74,0.88065,0.68098,1.0488,0.61313,0.6772,0.65783,0.45049,1.10611,1.13031,1.18621,0.000515308,0.000515308,0.000515308
86,5953.76,0.86589,0.64698,1.04344,0.61683,0.70697,0.678,0.46653,1.0976,1.09916,1.1733,0.000502605,0.000502605,0.000502605
87,6022.65,0.86105,0.63989,1.03897,0.57099,0.74738,0.66573,0.4492,1.12762,1.13408,1.19489,0.000489958,0.000489958,0.000489958
88,6091.64,0.8738,0.65305,1.05106,0.58492,0.73968,0.65907,0.44761,1.13079,1.14071,1.19869,0.000477373,0.000477373,0.000477373
89,6160.35,0.86504,0.65186,1.04151,0.60523,0.72306,0.66857,0.45734,1.10184,1.14449,1.17942,0.000464856,0.000464856,0.000464856
90,6229.19,0.86741,0.65293,1.04397,0.61382,0.67754,0.66527,0.45446,1.09568,1.1331,1.17786,0.000452412,0.000452412,0.000452412
